Date,Price,Date2,Open,High,Low,Price2,Vol.,Change %,Column1,valitability in ($),Daily valitability in %,,,,,,,,,,,,,,,,,
26-Feb-20,"3,116.39",26-Feb-20,"3,139.90","3,182.51","3,108.99","3,116.39",-,-0.38%,0%,73.52,2.34%,,,highest price vs lowest price,,,,highest price movement vs lowest price movement in (%),,,,price range prevision,,,,other,,
25-Feb-20,"3,128.21",25-Feb-20,"3,238.94","3,246.99","3,118.77","3,128.21",-,-3.03%,3%,128.22,3.96%,,,highest price ,,lowest price,,highest price movement ,,lowest price movement,,highest price,,lowest price,,standard deviation,,daily volatility
24-Feb-20,"3,225.89",24-Feb-20,"3,257.61","3,259.81","3,214.65","3,225.89",-,-3.35%,3%,45.16,1.39%,,,"$3,393.52 ",,"$2,191.86 ",,12%,,0%,,"$3,799.11 ",,"$1,786.27 ",,202.7954,,1.28%
21-Feb-20,"3,337.75",21-Feb-20,"3,360.50","3,360.76","3,328.45","3,337.75",-,-1.05%,1%,32.31,0.96%,,,,,,,,,,,,,,,,,
20-Feb-20,"3,373.23",20-Feb-20,"3,380.45","3,389.15","3,341.02","3,373.23",-,-0.38%,0%,48.13,1.42%,,,,,,,,,,,,,,,,,
19-Feb-20,"3,386.15",19-Feb-20,"3,380.39","3,393.52","3,378.83","3,386.15",-,0.47%,0%,14.69,0.43%,,,,,,,,,,,,,,,,,
18-Feb-20,"3,370.29",18-Feb-20,"3,369.04","3,375.01","3,355.61","3,370.29",-,-0.29%,0%,19.4,0.58%,,,,,,,,,,,,,,,,,
14-Feb-20,"3,380.16",14-Feb-20,"3,378.08","3,380.69","3,366.15","3,380.16",-,0.18%,0%,14.54,0.43%,,,,,,,,,,,,,,,,,
13-Feb-20,"3,373.94",13-Feb-20,"3,365.90","3,385.09","3,360.52","3,373.94",-,-0.16%,0%,24.57,0.73%,,,,,,,,,,,,,,,,,
12-Feb-20,"3,379.45",12-Feb-20,"3,370.50","3,381.47","3,369.72","3,379.45",-,0.65%,1%,11.75,0.35%,,,,,,,,,,,,,,,,,
11-Feb-20,"3,357.75",11-Feb-20,"3,365.87","3,375.63","3,352.72","3,357.75",-,0.17%,0%,22.91,0.68%,,,,,,,,,,,,,,,,,
10-Feb-20,"3,352.09",10-Feb-20,"3,318.28","3,352.26","3,317.77","3,352.09",-,0.73%,1%,34.49,1.04%,,,,,,,,,,,,,,,,,
7-Feb-20,"3,327.71",7-Feb-20,"3,335.54","3,341.42","3,322.12","3,327.71",-,-0.54%,1%,19.3,0.58%,,,,,,,,,,,,,,,,,
6-Feb-20,"3,345.78",6-Feb-20,"3,344.92","3,347.96","3,334.39","3,345.78",-,0.33%,0%,13.57,0.41%,,,,,,,,,,,,,,,,,
5-Feb-20,"3,334.69",5-Feb-20,"3,324.91","3,337.58","3,313.75","3,334.69",-,1.13%,1%,23.83,0.72%,,,,,,,,,,,,,,,,,
